case	set	src	dst	mean_mm	std_mm	p50_mm	p95_mm	max_mm
1	75	T00	T50	3.913362	2.801245	2.681585	10.046935	10.369532
2	75	T00	T50	4.648512	4.089607	3.410630	12.553709	17.538404
3	75	T00	T50	7.245775	3.980584	5.622499	14.164944	15.218821
4	75	T00	T50	9.689395	4.786024	10.314286	17.547356	18.215049
5	75	T00	T50	7.405836	5.607696	5.236411	17.651014	24.777813
6	75	T00	T50	11.774943	7.069192	10.093651	24.043901	27.112457
7	75	T00	T50	10.713219	7.141475	8.275367	23.022916	27.653537
8	75	T00	T50	16.000213	9.216008	14.712838	29.830771	30.574717
9	75	T00	T50	7.156681	3.912042	7.500000	12.870859	15.524023
10	75	T00	T50	8.330541	6.853787	7.624421	20.890765	26.068606
